worker id,subset,true rank,noisy rank
0,"[30, 37, 49]","[49, 30, 37]","[30, 49, 37]"
0,"[0, 2, 4]","[4, 2, 0]","[0, 2, 4]"
0,"[30, 37, 53]","[53, 30, 37]","[30, 53, 37]"
0,"[32, 37, 42]","[32, 42, 37]","[42, 32, 37]"
0,"[16, 40, 48]","[16, 48, 40]","[48, 16, 40]"
0,"[2, 32, 49]","[2, 32, 49]","[49, 32, 2]"
0,"[5, 10, 49]","[5, 10, 49]","[49, 10, 5]"
0,"[4, 17, 31]","[4, 17, 31]","[31, 17, 4]"
0,"[0, 1, 23]","[1, 23, 0]","[1, 0, 23]"
0,"[31, 38, 59]","[59, 38, 31]","[31, 38, 59]"
0,"[22, 27, 44]","[44, 27, 22]","[22, 27, 44]"
0,"[22, 41, 56]","[56, 41, 22]","[22, 41, 56]"
0,"[40, 42, 48]","[48, 40, 42]","[40, 48, 42]"
0,"[7, 34, 43]","[34, 7, 43]","[34, 43, 7]"
0,"[18, 21, 25]","[25, 18, 21]","[18, 25, 21]"
0,"[4, 51, 56]","[4, 56, 51]","[56, 4, 51]"
0,"[15, 33, 39]","[15, 33, 39]","[39, 33, 15]"
0,"[20, 29, 34]","[34, 29, 20]","[20, 29, 34]"
0,"[15, 19, 52]","[19, 15, 52]","[19, 52, 15]"
0,"[2, 5, 36]","[36, 5, 2]","[2, 5, 36]"
0,"[18, 23, 46]","[46, 23, 18]","[18, 23, 46]"
0,"[3, 4, 50]","[4, 50, 3]","[4, 3, 50]"
0,"[8, 33, 51]","[51, 33, 8]","[8, 33, 51]"
0,"[13, 41, 46]","[13, 46, 41]","[46, 13, 41]"
0,"[23, 33, 59]","[33, 59, 23]","[33, 23, 59]"
0,"[5, 34, 36]","[34, 36, 5]","[34, 5, 36]"
0,"[39, 52, 53]","[52, 39, 53]","[52, 53, 39]"
0,"[2, 21, 54]","[2, 54, 21]","[54, 2, 21]"
0,"[29, 37, 45]","[29, 45, 37]","[45, 29, 37]"
0,"[25, 27, 57]","[25, 57, 27]","[57, 25, 27]"
