worker id,subset,true rank,noisy rank
0,"[30, 37, 49]","[49, 30, 37]","[49, 30, 37]"
0,"[0, 2, 4]","[4, 2, 0]","[0, 4, 2]"
0,"[30, 37, 53]","[53, 30, 37]","[30, 53, 37]"
0,"[32, 37, 42]","[32, 42, 37]","[32, 42, 37]"
0,"[16, 40, 48]","[16, 48, 40]","[48, 16, 40]"
0,"[2, 32, 49]","[2, 32, 49]","[2, 32, 49]"
0,"[5, 10, 49]","[5, 10, 49]","[10, 49, 5]"
0,"[4, 17, 31]","[4, 17, 31]","[31, 4, 17]"
0,"[0, 1, 23]","[1, 23, 0]","[1, 0, 23]"
0,"[31, 38, 59]","[59, 38, 31]","[31, 38, 59]"
0,"[22, 27, 44]","[44, 27, 22]","[22, 27, 44]"
0,"[22, 41, 56]","[56, 41, 22]","[41, 56, 22]"
0,"[40, 42, 48]","[48, 40, 42]","[42, 40, 48]"
0,"[7, 34, 43]","[34, 7, 43]","[34, 7, 43]"
0,"[18, 21, 25]","[25, 18, 21]","[25, 18, 21]"
0,"[4, 51, 56]","[4, 56, 51]","[56, 4, 51]"
0,"[15, 33, 39]","[15, 33, 39]","[33, 15, 39]"
0,"[20, 29, 34]","[34, 29, 20]","[34, 29, 20]"
0,"[15, 19, 52]","[19, 15, 52]","[52, 15, 19]"
0,"[2, 5, 36]","[36, 5, 2]","[5, 36, 2]"
0,"[18, 23, 46]","[46, 23, 18]","[18, 46, 23]"
0,"[3, 4, 50]","[4, 50, 3]","[4, 3, 50]"
0,"[8, 33, 51]","[51, 33, 8]","[8, 33, 51]"
0,"[13, 41, 46]","[13, 46, 41]","[41, 46, 13]"
0,"[23, 33, 59]","[33, 59, 23]","[33, 23, 59]"
0,"[5, 34, 36]","[34, 36, 5]","[5, 36, 34]"
0,"[39, 52, 53]","[52, 39, 53]","[39, 52, 53]"
0,"[2, 21, 54]","[2, 54, 21]","[2, 54, 21]"
0,"[29, 37, 45]","[29, 45, 37]","[29, 45, 37]"
0,"[25, 27, 57]","[25, 57, 27]","[25, 57, 27]"
0,"[2, 25, 56]","[56, 2, 25]","[56, 25, 2]"
0,"[35, 56, 57]","[56, 57, 35]","[56, 35, 57]"
0,"[24, 44, 48]","[48, 44, 24]","[44, 24, 48]"
0,"[13, 30, 47]","[13, 47, 30]","[47, 13, 30]"
0,"[16, 43, 44]","[16, 44, 43]","[44, 43, 16]"
0,"[6, 10, 54]","[54, 10, 6]","[10, 54, 6]"
0,"[40, 54, 56]","[56, 40, 54]","[40, 56, 54]"
0,"[0, 7, 51]","[7, 51, 0]","[7, 0, 51]"
0,"[21, 47, 56]","[56, 47, 21]","[47, 21, 56]"
0,"[21, 53, 56]","[56, 53, 21]","[21, 53, 56]"
0,"[13, 19, 28]","[19, 28, 13]","[28, 13, 19]"
0,"[8, 46, 55]","[55, 46, 8]","[46, 55, 8]"
0,"[24, 31, 39]","[39, 31, 24]","[31, 39, 24]"
0,"[2, 40, 53]","[40, 2, 53]","[40, 53, 2]"
0,"[10, 30, 36]","[36, 10, 30]","[10, 36, 30]"
0,"[0, 18, 41]","[0, 18, 41]","[41, 18, 0]"
0,"[8, 30, 53]","[8, 53, 30]","[8, 30, 53]"
0,"[3, 29, 50]","[29, 50, 3]","[3, 50, 29]"
0,"[13, 20, 37]","[20, 13, 37]","[13, 20, 37]"
0,"[8, 33, 56]","[56, 33, 8]","[56, 33, 8]"
0,"[12, 14, 15]","[15, 14, 12]","[12, 14, 15]"
0,"[7, 13, 59]","[7, 13, 59]","[13, 59, 7]"
0,"[34, 46, 51]","[34, 51, 46]","[34, 51, 46]"
0,"[3, 33, 46]","[33, 46, 3]","[33, 3, 46]"
0,"[24, 26, 29]","[29, 26, 24]","[24, 26, 29]"
0,"[36, 41, 57]","[36, 57, 41]","[36, 41, 57]"
0,"[4, 13, 32]","[4, 13, 32]","[13, 32, 4]"
0,"[8, 49, 55]","[55, 8, 49]","[8, 55, 49]"
0,"[2, 53, 56]","[56, 2, 53]","[2, 53, 56]"
